youthidCUF,classidCUF,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs
20350411,203504,2,1,0,3,3,0,3,1,3
20350412,203504,2,2,0,1,5,0,0,5,5
20350413,203504,9,3,0,1,5,0,1,4,5
20350414,203504,4,4,0,6,3,0,3,1,3
20350417,203504,1,4,0,3,4,0,3,2,4
20350418,203504,5,2,0,2,5,0,2,3,5
20350419,203504,0,2,0,2,4,0,2,3,4
20350421,203504,0,2,0,3,4,0,2,3,4
20350422,203504,4,5,0,3,2,0,2,1,2
20350423,203504,8,4,0,4,5,0,3,2,5
20350424,203504,2,0,0,6,5,0,5,0,5
20350425,203504,4,4,0,1,3,0,1,3,3
20490210,204902,0,3,0,4,3,0,2,2,3
20490211,204902,4,5,0,0,3,0,0,4,3
20490212,204902,1,4,0,4,5,0,2,3,5
20490213,204902,3,5,0,1,5,0,1,4,5
20490216,204902,1,5,0,4,4,0,2,3,4
20490217,204902,0,4,0,4,4,0,2,3,4
20490219,204902,0,3,0,2,5,0,2,3,5
20490223,204902,1,4,0,2,4,0,1,4,4
20490225,204902,4,5,0,1,5,0,0,5,5
20490227,204902,7,3,0,1,5,0,0,5,5
20490229,204902,2,5,0,2,5,0,1,4,5
20490230,204902,2,5,0,1,5,0,1,4,5
20490310,204903,3,2,0,2,2,0,1,2,2
20490311,204903,1,1,0,2,2,0,1,2,2
20490313,204903,2,3,0,4,5,0,4,1,5
20490323,204903,0,4,0,3,5,0,3,2,5
21280113,212801,2,4,0,4,4,0,2,3,4
21280115,212801,0,5,0,0,5,0,0,5,5
21280116,212801,0,2,0,4,5,0,3,2,5
21280118,212801,4,0,0,4,5,0,3,2,5
21280119,212801,1,3,0,0,4,0,0,5,4
21280120,212801,0,1,0,4,3,0,2,2,3
21280121,212801,3,3,0,3,5,0,2,3,5
21280123,212801,6,5,0,1,3,0,1,3,3
21280310,212803,1,2,0,2,4,0,1,4,4
21280311,212803,1,5,0,5,5,0,4,1,5
21280312,212803,0,5,0,3,5,0,0,5,5
21280313,212803,4,1,0,1,2,0,1,2,2
21280315,212803,3,5,0,2,1,0,0,2,1
21280316,212803,3,5,0,4,5,0,3,2,5
21280317,212803,0,1,0,2,3,0,1,3,3
21280319,212803,6,3,0,1,3,0,1,3,3
21730210,217302,2,4,0,3,4,0,2,3,4
21730211,217302,2,1,0,2,5,0,1,4,5
21730212,217302,0,1,0,9,5,0,5,0,5
21730213,217302,5,3,0,1,3,0,1,3,3
21730215,217302,11,4,0,1,3,0,0,4,3
21730217,217302,0,5,0,2,5,0,2,3,5
21730219,217302,1,5,0,5,4,0,3,2,4
21730220,217302,0,5,0,6,5,0,5,0,5
21730221,217302,0,3,0,3,5,0,2,3,5
21730226,217302,4,3,0,4,5,0,4,1,5
21730227,217302,2,0,0,2,5,0,2,3,5
21730228,217302,1,0,0,4,4,0,2,3,4
21730312,217303,1,2,0,5,5,0,3,2,5
21730313,217303,2,3,0,2,4,0,2,3,4
21730321,217303,4,5,0,0,3,0,0,4,3
21730322,217303,0,2,0,3,5,0,3,2,5
21730323,217303,1,5,0,1,4,0,1,4,4
21730325,217303,1,5,0,2,3,0,2,2,3
22440310,224403,1,5,0,4,5,0,4,1,5
22440312,224403,3,5,0,1,4,0,1,4,4
22440313,224403,0,4,0,0,5,0,0,5,5
22440315,224403,0,0,1,4,5,0,4,1,5
22440316,224403,2,5,0,3,5,0,3,2,5
22440319,224403,2,2,0,1,5,0,1,4,5
22440320,224403,0,4,0,6,3,0,2,2,3
22440322,224403,0,2,0,5,5,0,4,1,5
22440323,224403,1,4,0,7,5,0,4,1,5
22440326,224403,0,2,0,3,5,0,3,2,5
22440610,224406,2,0,0,4,3,0,2,2,3
22440611,224406,0,5,0,4,5,0,2,3,5
22440612,224406,0,4,0,1,5,0,1,4,5
22440617,224406,5,4,0,1,2,0,1,2,2
22440620,224406,0,3,0,3,5,0,3,2,5
22440622,224406,2,4,0,4,5,0,3,2,5
22440623,224406,1,1,0,5,5,0,3,2,5
22440624,224406,4,0,0,1,1,0,1,1,1
22440626,224406,6,4,0,4,5,0,3,2,5
22440627,224406,4,3,0,2,5,0,2,3,5
22480110,224801,2,3,0,1,3,0,1,3,3
22480112,224801,2,5,0,4,5,0,2,3,5
22480114,224801,6,4,0,3,2,0,2,1,2
22480116,224801,4,3,0,2,5,0,2,3,5
22480117,224801,1,5,0,2,5,0,2,3,5
22480118,224801,2,0,0,1,5,0,1,4,5
22480119,224801,2,4,0,5,4,0,3,2,4
22480121,224801,4,0,0,1,5,0,1,4,5
22480122,224801,3,5,0,6,5,0,3,2,5
22480125,224801,1,3,0,4,2,0,1,2,2
22480127,224801,0,3,0,2,5,0,1,4,5
22480130,224801,3,5,0,3,3,0,3,1,3
22480131,224801,2,0,0,1,0,0,0,1,0
22800210,228002,6,3,0,1,4,0,0,5,4
22800213,228002,1,4,0,3,4,0,0,5,4
22800214,228002,3,5,0,4,2,0,2,1,2
22800215,228002,2,1,0,4,4,0,2,3,4
22800216,228002,0,5,0,5,5,0,5,0,5
22800217,228002,0,3,0,2,4,0,2,3,4
22800221,228002,3,5,0,3,2,0,2,1,2
22800222,228002,0,5,0,5,5,0,4,1,5
22800225,228002,0,4,0,2,5,0,2,3,5
22800226,228002,4,5,0,4,4,0,3,2,4
22800227,228002,0,1,0,2,5,0,2,3,5
22800228,228002,0,5,0,4,5,0,4,1,5
22800229,228002,5,2,0,4,5,0,3,2,5
22800230,228002,9,2,0,1,5,0,1,4,5
22800231,228002,5,5,0,2,5,0,2,3,5
22800310,228003,1,5,0,4,5,0,1,4,5
22800311,228003,1,1,0,4,2,0,2,1,2
22800312,228003,2,5,0,3,5,0,2,3,5
22800313,228003,3,2,0,1,3,0,1,3,3
