youthidCUF,pos_outdegree,neg_outdegree,pos_indegree,neg_indegree,reciprocal,non_reciprocal,pos_isolate,neg_isolate
20330308,2,2,3,1,2,1,0,0
20330309,1,5,2,4,1,1,0,0
20330312,3,5,3,10,3,1,0,0
20330313,4,3,2,2,2,3,0,0
20330314,4,4,2,4,2,3,0,0
20330315,5,3,2,4,2,3,0,0
20330316,2,3,3,2,2,1,0,0
20330317,3,1,5,2,2,2,0,0
20330319,4,3,5,2,3,2,0,0
20330320,4,3,2,4,2,3,0,0
20330322,3,0,5,0,2,2,0,1
20330324,2,2,3,0,2,1,0,0
20330327,3,3,4,4,2,2,0,0
20350203,4,5,3,1,1,4,0,0
20350204,5,5,2,2,1,4,0,0
20350205,2,3,4,0,1,2,0,0
20350206,5,1,0,3,0,5,0,0
20350207,5,5,1,5,0,5,0,0
20350209,4,2,1,0,1,4,0,0
20350212,4,5,2,2,2,3,0,0
20350214,5,2,4,2,3,2,0,0
20350216,5,4,3,1,2,3,0,0
20350218,5,5,4,2,3,2,0,0
20350220,5,5,3,2,3,2,0,0
20350222,5,3,2,0,2,3,0,0
20350224,5,3,5,1,1,4,0,0
20350225,5,5,1,5,1,4,0,0
20350227,2,5,2,0,1,2,0,0
20350401,3,5,3,0,3,1,0,0
20350402,5,2,6,1,5,0,0,0
20350403,5,2,4,0,4,1,0,0
20350404,4,3,4,0,4,1,0,0
20350407,4,2,4,0,2,3,0,0
20350408,4,4,3,0,3,2,0,0
20350410,5,2,5,5,4,1,0,0
20350411,3,1,3,2,3,1,0,0
20350412,5,2,1,2,0,5,0,0
20350413,5,3,1,9,1,4,0,0
20350414,3,4,6,4,3,1,0,0
20350417,4,4,3,1,3,2,0,0
20350418,5,2,2,5,2,3,0,0
20350419,4,2,2,0,2,3,0,0
20350421,4,2,3,0,2,3,0,0
20350422,2,5,3,4,2,1,0,0
20350423,5,4,4,8,3,2,0,0
20350424,5,0,6,2,5,0,0,0
20350425,3,4,1,4,1,3,0,0
20490201,3,4,2,3,1,3,0,0
20490202,5,5,1,0,1,4,0,0
20490203,2,5,3,1,1,2,0,0
20490204,0,2,2,1,0,1,0,0
20490209,4,5,3,3,3,2,0,0
20490210,3,3,4,0,2,2,0,0
20490211,3,5,0,4,0,4,0,0
20490212,5,4,4,1,2,3,0,0
20490213,5,5,1,3,1,4,0,0
20490216,4,5,4,1,2,3,0,0
20490217,4,4,4,0,2,3,0,0
20490219,5,3,2,0,2,3,0,0
20490223,4,4,2,1,1,4,0,0
20490225,5,5,1,4,0,5,0,0
20490227,5,3,1,7,0,5,0,0
20490229,5,5,2,2,1,4,0,0
20490230,5,5,1,2,1,4,0,0
20490301,2,3,0,1,0,3,0,0
20490302,1,2,0,9,0,2,0,0
20490303,4,3,6,1,4,1,0,0
20490304,5,5,4,1,2,3,0,0
20490305,3,1,4,1,2,2,0,0
20490306,2,2,1,4,1,2,0,0
20490307,5,5,3,0,2,3,0,0
20490308,0,4,2,3,0,1,0,0
20490310,2,2,2,3,1,2,0,0
20490311,2,1,2,1,1,2,0,0
20490313,5,3,4,2,4,1,0,0
20490323,5,4,3,0,3,2,0,0
21280101,4,5,3,2,3,2,0,0
21280104,5,4,3,1,0,5,0,0
21280105,4,3,1,2,1,4,0,0
21280106,3,2,1,1,1,3,0,0
21280107,5,3,3,2,2,3,0,0
21280108,2,3,5,3,2,1,0,0
21280109,5,2,4,5,4,1,0,0
21280113,4,4,4,2,2,3,0,0
21280115,5,5,0,0,0,5,0,0
21280116,5,2,4,0,3,2,0,0
21280119,4,3,0,1,0,5,0,0
21280120,3,1,4,0,2,2,0,0
21280121,5,3,3,3,2,3,0,0
21280123,3,5,1,6,1,3,0,0
21280301,1,5,0,4,0,2,0,0
21280302,5,0,2,1,2,3,0,0
21280305,2,1,2,1,2,1,0,0
21280306,4,0,5,1,3,2,0,0
21280307,5,2,1,0,1,4,0,0
21280308,5,5,3,2,2,3,0,0
21280309,4,0,4,0,3,2,0,1
21280310,4,2,2,1,1,4,0,0
21280311,5,5,5,1,4,1,0,0
21280312,5,5,3,0,0,5,0,0
21280313,2,1,1,4,1,2,0,0
21280315,1,5,2,3,0,2,0,0
21280316,5,5,4,3,3,2,0,0
21280317,3,1,2,0,1,3,0,0
21280319,3,3,1,6,1,3,0,0
21730201,4,2,1,1,1,4,0,0
21730202,4,1,1,1,0,5,0,0
21730203,5,3,2,0,2,3,0,0
21730204,4,3,2,3,2,3,0,0
21730205,4,5,4,1,3,2,0,0
21730206,4,5,6,2,3,2,0,0
21730207,5,2,5,0,4,1,0,0
21730210,4,4,3,2,2,3,0,0
